_id,destination,title,shortDescription,description,images[0].url,images[0].public_id,duration,distance,location,category,bestTime,priceRange,difficultyLevel,icon,highlights[0],highlights[1],highlights[2],highlights[3],tips[0],tips[1],updatedAt,createdAt,__v
6a5ba38afbc925e6fcc12ce4,6a4a384f732595d33bf3afd1,Golf Course Experience,Play at one of India's oldest and most scenic mountain golf courses.,"Enjoy a relaxing round of golf surrounded by cedar forests and breathtaking Himalayan landscapes at the historic Naldehra Golf Course, one of India's oldest mountain golf destinations.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445507/travelbharat/vuvpwm87uqbtvg2nxuiz.jpg,travelbharat/vuvpwm87uqbtvg2nxuiz,3 Hours,500 m,Naldehra Golf Course,Adventure,March to June,₹500 - ₹1500,Easy,false,Historic Golf Course,Mountain Views,Cedar Forests,Peaceful Surroundings,Book your tee time early,Wear comfortable sports shoes,2026-07-19T07:18:27.186Z,,
6a5ba38afbc925e6fcc12ce6,6a4a384f732595d33bf3afd1,Cedar Forest Walk,Take a peaceful walk through beautiful cedar and pine forests.,"Explore tranquil forest trails surrounded by centuries-old cedar trees while enjoying fresh mountain air, birdsong, and breathtaking Himalayan landscapes.",,,2 Hours,3 km,Naldehra Forest Trails,Nature,Throughout the Year,Free,Easy,trees,Nature Trail,Bird Watching,Photography,Fresh Mountain Air,Carry drinking water,Wear comfortable walking shoes,,,
6a5ba38afbc925e6fcc12ce7,6a4a384f732595d33bf3afd1,Mountain Photography Tour,Capture spectacular Himalayan landscapes from scenic viewpoints.,"Visit the best viewpoints around Naldehra to photograph majestic Himalayan peaks, rolling meadows, cedar forests, and unforgettable mountain sunsets.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445625/travelbharat/carbv6ljrujauuyppmxr.jpg,travelbharat/carbv6ljrujauuyppmxr,2 Hours,4 km,Naldehra Viewpoints,Photography,September to December,₹200 - ₹500,Easy,false,Panoramic Views,Golden Hour,Mountain Photography,Scenic Landscapes,Visit during sunrise or sunset,Carry extra camera batteries,2026-07-19T07:20:25.614Z,,
6a5ba3dcfbc925e6fcc12cea,6a4a3941732595d33bf3afd3,Apple Orchard Tour,Explore traditional apple orchards and experience local farming culture.,"Walk through lush apple orchards, learn about apple cultivation, interact with local farmers, and enjoy fresh seasonal produce in Mashobra.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445739/travelbharat/ajxrkrqpne7nhfliocza.jpg,travelbharat/ajxrkrqpne7nhfliocza,2 Hours,3 km,Mashobra Apple Orchards,Nature,July to October,₹300 - ₹700,Easy,false,Apple Farms,Local Culture,Fresh Produce,Photography,Visit during harvest season,Respect private orchards,2026-07-19T07:22:19.739Z,,
6a5ba3dcfbc925e6fcc12ceb,6a4a3941732595d33bf3afd3,Wildlife Sanctuary Walk,Discover Himalayan flora and fauna inside the wildlife sanctuary.,"Take a guided nature walk through the Shimla Water Catchment Wildlife Sanctuary and experience rich biodiversity, birdlife, and peaceful Himalayan forests.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445770/travelbharat/xd2jpyixlb0yjagnxjwe.jpg,travelbharat/xd2jpyixlb0yjagnxjwe,3 Hours,5 km,Shimla Water Catchment Wildlife Sanctuary,Wildlife,March to November,₹500 - ₹1000,Easy,false,Bird Watching,Forest Trail,Wildlife Spotting,Nature Photography,Maintain silence on trails,Carry binoculars,2026-07-19T07:22:50.473Z,,
6a5ba3dcfbc925e6fcc12ce8,6a4a3941732595d33bf3afd3,Shali Tibba Trek,Trek through dense forests to the famous Shali Tibba summit.,"Embark on a rewarding trek to Shali Tibba, one of the highest peaks near Mashobra, offering panoramic Himalayan views, peaceful forest trails, and an unforgettable mountain adventure.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445659/travelbharat/tfiufh2bgpttgpfe8xwi.jpg,travelbharat/tfiufh2bgpttgpfe8xwi,5 Hours,18 km,Shali Tibba,Adventure,April to November,₹800 - ₹1800,Moderate,false,Panoramic Views,Forest Trek,Mountain Summit,Nature Adventure,Start early in the morning,Carry sufficient water,2026-07-19T07:20:59.408Z,,
6a5ba3dcfbc925e6fcc12ce9,6a4a3941732595d33bf3afd3,Forest Camping Experience,Spend a peaceful night surrounded by cedar forests and Himalayan scenery.,"Enjoy camping amidst Mashobra's serene deodar forests with bonfires, starry skies, fresh mountain air, and breathtaking sunrise views.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445687/travelbharat/jmanzctnnvoe1abwf3wg.jpg,travelbharat/jmanzctnnvoe1abwf3wg,1 Night,6 km,Mashobra Forest Camps,Camping,March to June,₹1500 - ₹3500,Easy,false,Bonfire,Forest Stay,Star Gazing,Nature Escape,Carry warm clothes,Book campsites in advance,2026-07-19T07:21:27.915Z,,
6a5ba41bfbc925e6fcc12cee,6a4a3a32732595d33bf3afd5,Mountain Camping,Camp under star-filled skies amidst Fagu's serene Himalayan surroundings.,"Experience overnight camping with bonfires, spectacular sunrise views, and peaceful mountain landscapes, making it one of Fagu's most memorable outdoor adventures.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445889/travelbharat/qrdjqzvnzyno5buwu8zr.jpg,travelbharat/qrdjqzvnzyno5buwu8zr,1 Night,5 km,Fagu Campsite,Camping,April to June,₹1800 - ₹3500,Easy,false,Bonfire,Star Gazing,Sunrise Views,Nature Stay,Carry warm clothing,Book camps in advance,2026-07-19T07:24:49.217Z,,
6a5ba41bfbc925e6fcc12cef,6a4a3a32732595d33bf3afd5,Himalayan Photography Tour,Capture panoramic Himalayan vistas from Fagu's scenic viewpoints.,"Visit the best viewpoints around Fagu to photograph snow-capped peaks, rolling valleys, apple orchards, and unforgettable Himalayan sunsets.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784452025/travelbharat/j9ns1i5qcaf8davtgzxd.jpg,travelbharat/j9ns1i5qcaf8davtgzxd,2 Hours,4 km,Fagu Viewpoints,Photography,October to December,₹200 - ₹600,Easy,false,Panoramic Views,Golden Hour,Landscape Photography,Mountain Peaks,Visit during sunrise,Carry extra batteries,2026-07-19T09:07:05.836Z,,
6a5ba41bfbc925e6fcc12cec,6a4a3a32732595d33bf3afd5,Apple Orchard Walk,Stroll through scenic apple orchards surrounded by Himalayan landscapes.,Enjoy a relaxing walk across Fagu's picturesque apple orchards while learning about local horticulture and soaking in breathtaking mountain views.,https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445816/travelbharat/uxko8fvpqjnbolcyhjpa.jpg,travelbharat/uxko8fvpqjnbolcyhjpa,2 Hours,2 km,Fagu Apple Orchards,Nature,July to October,₹300 - ₹700,Easy,false,Apple Orchards,Mountain Views,Photography,Local Farming,Visit during harvest season,Wear comfortable walking shoes,2026-07-19T07:23:36.799Z,,
6a5ba41bfbc925e6fcc12ced,6a4a3a32732595d33bf3afd5,Forest Nature Trail,Explore peaceful pine and cedar forests on a guided nature walk.,Walk through tranquil forest trails surrounded by deodar and pine trees while enjoying fresh mountain air and the rich biodiversity of Fagu.,https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445854/travelbharat/wombyatx7iqienszsiwl.jpg,travelbharat/wombyatx7iqienszsiwl,2 Hours,3 km,Fagu Forest Trails,Nature,March to November,₹200 - ₹500,Easy,false,Forest Walk,Bird Watching,Nature Photography,Fresh Mountain Air,Carry water,Avoid littering,2026-07-19T07:24:15.478Z,,
6a5ba440fbc925e6fcc12cf2,6a4a3b84732595d33bf3afd7,Kali Tibba Trek,Hike to the famous hilltop temple overlooking the Himalayan ranges.,"Follow a scenic mountain trail to Kali Tibba Temple and enjoy breathtaking panoramic views of snow-capped peaks, dense forests, and the peaceful Chail valley.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445979/travelbharat/luuop88ebvvzfv4ntbmf.jpg,travelbharat/luuop88ebvvzfv4ntbmf,3 Hours,4 km,Kali Tibba,Adventure,March to November,₹300 - ₹700,Moderate,false,Hilltop Temple,Forest Trail,Himalayan Views,Sunset Point,Wear trekking shoes,Carry drinking water,2026-07-19T07:26:19.167Z,,
6a5ba440fbc925e6fcc12cf1,6a4a3b84732595d33bf3afd7,Chail Palace Tour,Explore the magnificent heritage palace built by the Maharaja of Patiala.,"Step into royal history with a guided tour of the iconic Chail Palace, admired for its beautiful architecture, lush gardens, elegant interiors, and panoramic Himalayan surroundings.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784445949/travelbharat/je5xbysdgztn3qtvjh3w.jpg,travelbharat/je5xbysdgztn3qtvjh3w,2 Hours,1 km,Chail Palace,Heritage,March to June & September to November,₹200 - ₹500,Easy,false,Royal Palace,Historic Architecture,Beautiful Gardens,Photography,Visit during morning hours,Carry a camera,2026-07-19T07:25:49.335Z,,
6a5ba440fbc925e6fcc12cf3,6a4a3b84732595d33bf3afd7,Cricket Ground Visit,Visit the world's highest cricket ground surrounded by pine forests.,"Explore the historic Chail Cricket Ground, one of the highest cricket grounds in the world, offering spectacular mountain scenery and a unique sporting heritage.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784446011/travelbharat/dfoimugciikldlno6hhb.jpg,travelbharat/dfoimugciikldlno6hhb,1 Hour,2 km,Chail Cricket Ground,Heritage,Throughout the Year,₹100 - ₹300,Easy,false,World's Highest Ground,Historic Landmark,Mountain Views,Photography,Visit during daylight,Check entry timings,2026-07-19T07:26:51.569Z,,
6a5ba440fbc925e6fcc12cf4,6a4a3b84732595d33bf3afd7,Wildlife Sanctuary Safari,Discover Himalayan wildlife inside the Chail Wildlife Sanctuary.,"Take a guided safari through Chail Wildlife Sanctuary to spot deer, Himalayan birds, langurs, and other native wildlife while exploring beautiful forest landscapes.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784446046/travelbharat/dsm2pc8j5dx3dj4qol5r.jpg,travelbharat/dsm2pc8j5dx3dj4qol5r,3 Hours,6 km,Chail Wildlife Sanctuary,Wildlife,October to June,₹500 - ₹1200,Easy,false,Wildlife Safari,Bird Watching,Forest Trails,Nature Photography,Maintain silence,Carry binoculars,2026-07-19T07:27:26.970Z,,
6a5ba46dfbc925e6fcc12cf5,6a4a3bf6732595d33bf3afd9,Hatu Peak Trek,Trek to the highest peak in Narkanda for breathtaking Himalayan views.,"Embark on a scenic trek to Hatu Peak through dense pine and deodar forests, reaching one of Himachal Pradesh's finest viewpoints overlooking the snow-covered Himalayas.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784446076/travelbharat/pvcrmerhrxnnej6j2rj2.jpg,travelbharat/pvcrmerhrxnnej6j2rj2,5 Hours,7 km,Hatu Peak,Adventure,April to November,₹500 - ₹1200,Moderate,false,Hatu Peak,Forest Trek,Panoramic Views,Mountain Photography,Start early,Carry sufficient water,2026-07-19T07:27:56.153Z,,
6a5ba46dfbc925e6fcc12cf6,6a4a3bf6732595d33bf3afd9,Apple Orchard Tour,Visit traditional apple orchards and experience local mountain farming.,"Walk through lush apple orchards, meet local growers, and discover the cultivation of Himachal's famous apples while enjoying peaceful mountain surroundings.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784548246/travelbharat/jsjuyxmhwjykg3s6oaz1.jpg,travelbharat/jsjuyxmhwjykg3s6oaz1,2 Hours,2 km,Narkanda Apple Orchards,Nature,July to October,₹300 - ₹700,Easy,false,Apple Farms,Local Culture,Fresh Produce,Scenic Landscape,Visit during harvest season,Respect private orchards,2026-07-20T11:50:46.370Z,,
6a5ba46dfbc925e6fcc12cf8,6a4a3bf6732595d33bf3afd9,Sunrise Photography Tour,Capture mesmerizing Himalayan sunrise from Narkanda's scenic viewpoints.,"Visit the best sunrise viewpoints around Narkanda to photograph golden Himalayan peaks, lush valleys, and unforgettable early morning mountain landscapes.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784446199/travelbharat/dxcjjs0hps2ms7x5d2xr.jpg,travelbharat/dxcjjs0hps2ms7x5d2xr,2 Hours,4 km,Narkanda Viewpoints,Photography,October to March,₹200 - ₹500,Easy,false,Golden Sunrise,Mountain Panorama,Photography,Scenic Viewpoints,Arrive before sunrise,Carry extra camera batteries,2026-07-19T07:30:00.034Z,,
6a5ba46dfbc925e6fcc12cf7,6a4a3bf6732595d33bf3afd9,Winter Skiing Adventure,Enjoy skiing on Narkanda's popular snow-covered mountain slopes.,"Experience thrilling skiing on the beautiful slopes of Narkanda, one of Himachal Pradesh's emerging winter sports destinations suitable for beginners and experienced skiers alike.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784446157/travelbharat/yxntwifl3eijmgjy7ws4.jpg,travelbharat/yxntwifl3eijmgjy7ws4,3 Hours,3 km,Narkanda Ski Slopes,Adventure,December to February,₹1000 - ₹2500,Moderate,false,Snow Activities,Ski Equipment,Winter Adventure,Mountain Views,Wear thermal clothing,Book equipment in advance,2026-07-19T07:29:17.563Z,,
6a5ba4a3fbc925e6fcc12cfc,6a4a3c4a732595d33bf3afdc,Kayaking Experience,Paddle through calm stretches of the Sutlej River with expert guidance.,Enjoy an exciting kayaking adventure on suitable sections of the Sutlej River while taking in the beautiful valley landscapes and fresh mountain air.,https://res.cloudinary.com/ddjehdwgu/image/upload/v1784451290/travelbharat/skhfg7gcdjkobyecdraq.jpg,travelbharat/skhfg7gcdjkobyecdraq,1.5 Hours,2 km,Sutlej River,Adventure,March to June,₹800 - ₹1800,Moderate,false,Kayaking,River Adventure,Scenic Valley,Outdoor Activity,Wear quick-dry clothing,Listen to safety instructions,2026-07-19T08:54:50.202Z,,
6a5ba4a3fbc925e6fcc12cfb,6a4a3c4a732595d33bf3afdc,Riverside Camping,Spend a memorable night camping beside the Sutlej River.,"Enjoy riverside camping with bonfires, stargazing, delicious local meals, and peaceful Himalayan surroundings for a refreshing outdoor getaway.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784451192/travelbharat/cetdoirwwq6ubzptlypy.jpg,travelbharat/cetdoirwwq6ubzptlypy,1 Night,1 km,Sutlej Riverside Camps,Camping,October to May,₹1800 - ₹3500,Easy,false,Bonfire,River View,Star Gazing,Nature Stay,Carry warm clothing,Reserve your campsite early,2026-07-19T08:53:12.842Z,,
6a5ba4a3fbc925e6fcc12cf9,6a4a3c4a732595d33bf3afdc,Hot Spring Bath,Relax in Tattapani's famous natural sulfur hot water springs.,"Rejuvenate your body with a soothing dip in the naturally heated sulfur springs of Tattapani, believed to have therapeutic properties and surrounded by beautiful Himalayan scenery.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784446251/travelbharat/mq7vdo4cn2rs45eolbto.jpg,travelbharat/mq7vdo4cn2rs45eolbto,1 Hour,500 m,Tattapani Hot Springs,Wellness,October to March,₹100 - ₹300,Easy,false,Natural Hot Springs,Therapeutic Bath,River Views,Relaxing Experience,Carry an extra towel,Avoid visiting during heavy rains,2026-07-19T07:30:51.437Z,,
6a5ba4a3fbc925e6fcc12cfa,6a4a3c4a732595d33bf3afdc,Sutlej River Rafting,Experience exciting white water rafting on the Sutlej River.,Navigate thrilling rapids on the Sutlej River while enjoying breathtaking mountain landscapes. This adventure is one of the most popular outdoor activities in Tattapani.,https://res.cloudinary.com/ddjehdwgu/image/upload/v1784446293/travelbharat/u8vcru2gesdysfcbcnz2.jpg,travelbharat/u8vcru2gesdysfcbcnz2,2 Hours,2 km,Sutlej River,Adventure,March to June,₹1200 - ₹2500,Moderate,false,White Water Rafting,Adventure Sports,River Rapids,Mountain Scenery,Wear a life jacket,Follow instructor guidelines,2026-07-19T07:31:33.331Z,,
6a5ba4c4fbc925e6fcc12cfd,6a4a3cc0732595d33bf3afde,Apple Orchard Walk,Explore beautiful apple orchards nestled amidst Theog's scenic mountain landscapes.,"Take a guided walk through lush apple orchards, interact with local farmers, and learn about traditional apple cultivation while enjoying breathtaking Himalayan views.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784451324/travelbharat/yhzxkgstj462hsd9rqdy.jpg,travelbharat/yhzxkgstj462hsd9rqdy,2 Hours,2 km,Theog Apple Orchards,Nature,July to October,₹300 - ₹700,Easy,false,Apple Orchards,Local Farming,Mountain Views,Photography,Visit during harvest season,Respect private orchards,2026-07-19T08:55:24.520Z,,
6a5ba4c4fbc925e6fcc12d00,6a4a3cc0732595d33bf3afde,Village Heritage Walk,Experience traditional Himachali village life and local mountain culture.,"Walk through charming villages around Theog, interact with local residents, admire traditional wooden houses, and experience authentic Himachali hospitality and culture.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784451451/travelbharat/zshbecfoulfsm9jvtluk.jpg,travelbharat/zshbecfoulfsm9jvtluk,2 Hours,3 km,Theog Villages,Culture,Throughout the Year,₹200 - ₹600,Easy,false,Local Culture,Traditional Villages,Himachali Architecture,Cultural Experience,Respect local customs,Support local handicrafts,2026-07-19T08:57:31.586Z,,
6a5ba4c4fbc925e6fcc12cff,6a4a3cc0732595d33bf3afde,Valley View Photography,Capture stunning Himalayan valleys and rolling mountain landscapes.,"Visit Theog's scenic viewpoints to photograph snow-capped peaks, lush valleys, apple orchards, and spectacular Himalayan sunsets throughout the year.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784451398/travelbharat/xx03qogjmry9peqzzulq.jpg,travelbharat/xx03qogjmry9peqzzulq,2 Hours,4 km,Theog Viewpoints,Photography,October to December,₹200 - ₹500,Easy,false,Panoramic Views,Golden Hour,Mountain Landscapes,Photography Spots,Visit during sunrise or sunset,Carry extra camera batteries,2026-07-19T08:56:38.765Z,,
6a5ba4c4fbc925e6fcc12cfe,6a4a3cc0732595d33bf3afde,Forest Nature Hike,Hike through peaceful cedar and pine forests surrounding Theog.,Enjoy a refreshing nature hike along forest trails filled with towering deodar and pine trees while experiencing the tranquility of the Himalayan wilderness.,https://res.cloudinary.com/ddjehdwgu/image/upload/v1784451361/travelbharat/nbgwh6glxyyhreimlpsy.jpg,travelbharat/nbgwh6glxyyhreimlpsy,3 Hours,5 km,Theog Forest Trails,Adventure,March to November,₹300 - ₹800,Easy,false,Forest Trails,Fresh Mountain Air,Bird Watching,Nature Photography,Wear trekking shoes,Carry enough water,2026-07-19T08:56:01.536Z,,
6a5ba4e3fbc925e6fcc12d03,6a4a3d32732595d33bf3afe2,Rohtang Pass Excursion,Discover snow-covered landscapes and breathtaking Himalayan mountain passes.,"Take a scenic drive to Rohtang Pass and enjoy snow activities, panoramic mountain views, and unforgettable Himalayan landscapes during the open season.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784451535/travelbharat/klcinoevvkl5i6iftnwc.jpg,travelbharat/klcinoevvkl5i6iftnwc,8 Hours,51 km,Rohtang Pass,Nature,May to October,₹2000 - ₹5000,Easy,false,Snow Activities,Mountain Pass,Scenic Drive,Photography,Carry warm clothing,Book permits in advance,2026-07-19T08:58:55.807Z,,
6a5ba4e3fbc925e6fcc12d04,6a4a3d32732595d33bf3afe2,Hadimba Temple Visit,Explore Manali's iconic wooden temple surrounded by towering cedar forests.,"Visit the historic Hadimba Devi Temple, renowned for its unique wooden architecture, peaceful surroundings, and centuries-old cedar forest in the heart of Manali.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784451563/travelbharat/friejocnywobvdfq0apb.jpg,travelbharat/friejocnywobvdfq0apb,1.5 Hours,2 km,Hadimba Devi Temple,Heritage,Throughout the Year,Free,Easy,false,Ancient Temple,Cedar Forest,Wooden Architecture,Cultural Heritage,Visit early to avoid crowds,Dress respectfully,2026-07-19T08:59:23.922Z,,
6a5ba4e3fbc925e6fcc12d01,6a4a3d32732595d33bf3afe2,Solang Valley Adventure,Experience thrilling adventure sports amidst the stunning landscapes of Solang Valley.,"Enjoy an adrenaline-filled day at Solang Valley with activities like paragliding, ziplining, ATV rides, and rope adventures while admiring spectacular Himalayan scenery.",https://res.cloudinary.com/ddjehdwgu/image/upload/v1784451478/travelbharat/nsquhr1d6xjbvwzupvsu.jpg,travelbharat/nsquhr1d6xjbvwzupvsu,4 Hours,13 km,Solang Valley,Adventure,March to June & October to February,₹1000 - ₹3500,Moderate,false,Paragliding,ATV Rides,Zipline,Mountain Views,Check weather conditions,Wear comfortable clothing,2026-07-19T08:57:57.994Z,,
